Action,MachineName,UserNameAndPID,TimeCreated
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 5:29:05 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 10:23:57 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 1:15:24 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 12:07:22 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 11:35:59 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 8:30:14 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 5:01:21 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 4:43:51 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 3:10:08 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 3:06:25 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 2:23:46 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 9:32:05 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 2:54:22 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/30/2019 12:43:22 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/29/2019 10:45:15 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/29/2019 8:49:33 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/29/2019 7:19:56 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/29/2019 5:13:13 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/29/2019 2:02:44 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/29/2019 9:20:12 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/29/2019 12:20:18 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",9/29/2019 12:02:21 AM
